GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
1620000US4260000,4260000,"Philadelphia city, Pennsylvania",1526006,1526006,1528271,1539649,1551944,1558109,1564042,1570507,1574765,1580863
1620000US4261000,4261000,"Pittsburgh city, Pennsylvania",305704,305391,305405,306022,306469,307064,306181,304453,305017,302407
1620000US4202000,4202000,"Allentown city, Pennsylvania",118032,118093,118111,118762,118926,118913,119320,120324,120670,121283
1620000US4224000,4224000,"Erie city, Pennsylvania",101786,101782,101758,101543,101322,100546,99721,99037,98289,97369
1620000US4263624,4263624,"Reading city, Pennsylvania",88082,88079,88123,88252,88234,88375,88281,88163,88207,88423
1620000US4269000,4269000,"Scranton city, Pennsylvania",76089,76089,76089,75924,76022,75812,75400,77127,77199,77605
1620000US4206088,4206088,"Bethlehem city, Pennsylvania",74982,74986,74995,75080,75089,74929,75057,75084,75402,75707
1620000US4241216,4241216,"Lancaster city, Pennsylvania",59322,59322,59335,59458,59462,59470,59518,59581,59646,59708
1620000US4232800,4232800,"Harrisburg city, Pennsylvania",49528,49528,49506,49394,49410,49372,49338,49263,49153,49192
1620000US4202184,4202184,"Altoona city, Pennsylvania",46320,45984,45945,45836,45637,45346,45102,44794,44400,44098
1620000US4287048,4287048,"York city, Pennsylvania",43718,43806,43865,43758,43691,44025,43964,44054,44061,44132
1620000US4273808,4273808,"State College borough, Pennsylvania",42034,41980,41995,41998,41964,42206,42084,41913,42493,42430
1620000US4285152,4285152,"Wilkes-Barre city, Pennsylvania",41498,41498,41487,41371,41327,41035,41029,40879,40728,40806
1620000US4254656,4254656,"Norristown borough, Pennsylvania",34324,34340,34363,34544,34574,34576,34606,34513,34533,34510
1620000US4213208,4213208,"Chester city, Pennsylvania",33972,33972,34005,33825,34034,34128,34141,34114,34072,34077
1620000US4206064,4206064,"Bethel Park municipality, Pennsylvania",32313,32315,32320,32348,32366,32350,32242,32024,31849,32404
1620000US4285312,4285312,"Williamsport city, Pennsylvania",29381,29381,29395,29452,29504,29292,29190,29022,28704,28462
1620000US4250528,4250528,"Monroeville municipality, Pennsylvania",28386,28341,28344,28360,28376,28362,28267,28088,27896,27716
1620000US4261536,4261536,"Plum borough, Pennsylvania",27126,27124,27148,27274,27365,27460,27498,27400,27326,27258
1620000US4221648,4221648,"Easton city, Pennsylvania",26800,26769,26767,26838,27142,27059,27045,27000,27041,27109
1620000US4242168,4242168,"Lebanon city, Pennsylvania",25477,25477,25451,25504,25626,25596,25671,25702,25737,25770
1620000US4233408,4233408,"Hazleton city, Pennsylvania",25340,25340,25335,25269,25241,25086,24998,24871,24741,24723
1620000US4253368,4253368,"New Castle city, Pennsylvania",23273,23273,23215,23022,22882,22754,22604,22461,22259,22069
1620000US4262416,4262416,"Pottstown borough, Pennsylvania",22377,22375,22389,22479,22517,22626,22735,22715,22738,22741
1620000US4238288,4238288,"Johnstown city, Pennsylvania",20978,20975,20935,20763,20592,20389,20168,19942,19726,19643
1620000US4283512,4283512,"West Mifflin borough, Pennsylvania",20313,20313,20311,20315,20314,20292,20219,20079,19961,19839
1620000US4212536,4212536,"Chambersburg borough, Pennsylvania",20268,20268,20299,20329,20423,20452,20556,20623,20680,20878
