"ZIP
code [1]",Size of adjusted gross income,Number of returns
,,
,,(1)
00000,Total,"6,128,720"
00000,"$1 under $25,000",2233990
00000,"$25,000 under $50,000",1428240
00000,"$50,000 under $75,000",864410
00000,"$75,000 under $100,000",573560
00000,"$100,000 under $200,000",779480
00000,"$200,000 or more",249040
,,
15001,,"16,460"
15001,"$1 under $25,000",6180
15001,"$25,000 under $50,000",3880
15001,"$50,000 under $75,000",2400
15001,"$75,000 under $100,000",1600
15001,"$100,000 under $200,000",2090
15001,"$200,000 or more",310
,,
15003,,"5,740"
15003,"$1 under $25,000",2410
15003,"$25,000 under $50,000",1620
15003,"$50,000 under $75,000",880
15003,"$75,000 under $100,000",420
15003,"$100,000 under $200,000",370
15003,"$200,000 or more",40
,,
15005,,"5,020"
15005,"$1 under $25,000",1600
15005,"$25,000 under $50,000",1100
15005,"$50,000 under $75,000",710
15005,"$75,000 under $100,000",580
15005,"$100,000 under $200,000",820
15005,"$200,000 or more",210
,,
15007,,200
15007,"$1 under $25,000",70
15007,"$25,000 under $50,000",50
15007,"$50,000 under $75,000",50
15007,"$75,000 under $100,000",** 0
15007,"$100,000 under $200,000",30
15007,"$200,000 or more",** 0
,,
15009,,"7,750"
15009,"$1 under $25,000",2660
15009,"$25,000 under $50,000",1460
15009,"$50,000 under $75,000",1100
15009,"$75,000 under $100,000",870
15009,"$100,000 under $200,000",1300
15009,"$200,000 or more",360
,,
15010,,"13,400"
15010,"$1 under $25,000",5120
15010,"$25,000 under $50,000",3190
15010,"$50,000 under $75,000",1890
15010,"$75,000 under $100,000",1320
15010,"$100,000 under $200,000",1580
15010,"$200,000 or more",300
,,
15012,,"7,930"
15012,"$1 under $25,000",2870
15012,"$25,000 under $50,000",1750
15012,"$50,000 under $75,000",1190
15012,"$75,000 under $100,000",830
15012,"$100,000 under $200,000",1100
15012,"$200,000 or more",190
,,
15014,,"1,660"
15014,"$1 under $25,000",690
15014,"$25,000 under $50,000",540
15014,"$50,000 under $75,000",240
15014,"$75,000 under $100,000",110
15014,"$100,000 under $200,000",80
15014,"$200,000 or more",** 0
,,
15015,,680
15015,"$1 under $25,000",170
15015,"$25,000 under $50,000",70
15015,"$50,000 under $75,000",60
15015,"$75,000 under $100,000",70
15015,"$100,000 under $200,000",180
15015,"$200,000 or more",130
,,
15017,,"8,470"
15017,"$1 under $25,000",2450
15017,"$25,000 under $50,000",1920
15017,"$50,000 under $75,000",1280
15017,"$75,000 under $100,000",930
15017,"$100,000 under $200,000",1360
15017,"$200,000 or more",530
,,
15018,,430
15018,"$1 under $25,000",170
15018,"$25,000 under $50,000",130
15018,"$50,000 under $75,000",60
15018,"$75,000 under $100,000",40
15018,"$100,000 under $200,000",30
15018,"$200,000 or more",** 0
,,
15019,,780
15019,"$1 under $25,000",260
15019,"$25,000 under $50,000",180
15019,"$50,000 under $75,000",140
15019,"$75,000 under $100,000",90
15019,"$100,000 under $200,000",110
15019,"$200,000 or more",** 0
,,
15021,,"3,600"
15021,"$1 under $25,000",1260
15021,"$25,000 under $50,000",840
15021,"$50,000 under $75,000",600
15021,"$75,000 under $100,000",390
15021,"$100,000 under $200,000",440
15021,"$200,000 or more",70
,,
15022,,"5,050"
15022,"$1 under $25,000",2040
15022,"$25,000 under $50,000",1270
15022,"$50,000 under $75,000",730
15022,"$75,000 under $100,000",450
15022,"$100,000 under $200,000",490
15022,"$200,000 or more",70
,,
15024,,"4,520"
15024,"$1 under $25,000",1490
15024,"$25,000 under $50,000",1060
15024,"$50,000 under $75,000",680
15024,"$75,000 under $100,000",480
15024,"$100,000 under $200,000",620
15024,"$200,000 or more",190
,,
15025,,"8,030"
15025,"$1 under $25,000",2950
15025,"$25,000 under $50,000",1760
15025,"$50,000 under $75,000",1060
15025,"$75,000 under $100,000",720
15025,"$100,000 under $200,000",1180
15025,"$200,000 or more",360
,,
15026,,"1,850"
15026,"$1 under $25,000",580
15026,"$25,000 under $50,000",390
15026,"$50,000 under $75,000",260
15026,"$75,000 under $100,000",200
15026,"$100,000 under $200,000",350
15026,"$200,000 or more",70
,,
15027,,"1,180"
15027,"$1 under $25,000",450
15027,"$25,000 under $50,000",290
15027,"$50,000 under $75,000",190
15027,"$75,000 under $100,000",130
15027,"$100,000 under $200,000",120
15027,"$200,000 or more",** 0
,,
15030,,530
15030,"$1 under $25,000",240
15030,"$25,000 under $50,000",150
15030,"$50,000 under $75,000",80
15030,"$75,000 under $100,000",30
15030,"$100,000 under $200,000",30
15030,"$200,000 or more",** 0
,,
15031,,280
15031,"$1 under $25,000",110
15031,"$25,000 under $50,000",80
15031,"$50,000 under $75,000",40
15031,"$75,000 under $100,000",50
15031,"$100,000 under $200,000",** 0
15031,"$200,000 or more",** 0
,,
15033,,"2,130"
15033,"$1 under $25,000",1020
15033,"$25,000 under $50,000",590
15033,"$50,000 under $75,000",260
15033,"$75,000 under $100,000",150
15033,"$100,000 under $200,000",110
15033,"$200,000 or more",** 0
,,
15034,,900
15034,"$1 under $25,000",370
15034,"$25,000 under $50,000",270
15034,"$50,000 under $75,000",130
15034,"$75,000 under $100,000",80
15034,"$100,000 under $200,000",50
15034,"$200,000 or more",** 0
,,
15035,,"1,130"
15035,"$1 under $25,000",470
15035,"$25,000 under $50,000",350
15035,"$50,000 under $75,000",170
15035,"$75,000 under $100,000",90
15035,"$100,000 under $200,000",50
15035,"$200,000 or more",** 0
,,
15037,,"5,610"
15037,"$1 under $25,000",1910
15037,"$25,000 under $50,000",1350
15037,"$50,000 under $75,000",840
15037,"$75,000 under $100,000",640
15037,"$100,000 under $200,000",770
15037,"$200,000 or more",100
,,
15042,,"4,390"
15042,"$1 under $25,000",1450
15042,"$25,000 under $50,000",960
15042,"$50,000 under $75,000",670
15042,"$75,000 under $100,000",520
15042,"$100,000 under $200,000",690
15042,"$200,000 or more",100
,,
15043,,"1,050"
15043,"$1 under $25,000",350
15043,"$25,000 under $50,000",230
15043,"$50,000 under $75,000",170
15043,"$75,000 under $100,000",120
15043,"$100,000 under $200,000",160
15043,"$200,000 or more",20
,,
15044,,"14,550"
15044,"$1 under $25,000",4170
15044,"$25,000 under $50,000",2000
15044,"$50,000 under $75,000",1640
15044,"$75,000 under $100,000",1470
15044,"$100,000 under $200,000",3280
15044,"$200,000 or more",1990
,,
15045,,"2,080"
15045,"$1 under $25,000",960
15045,"$25,000 under $50,000",590
15045,"$50,000 under $75,000",290
15045,"$75,000 under $100,000",150
15045,"$100,000 under $200,000",90
15045,"$200,000 or more",** 0
,,
15046,,"1,330"
15046,"$1 under $25,000",450
15046,"$25,000 under $50,000",320
15046,"$50,000 under $75,000",200
15046,"$75,000 under $100,000",150
15046,"$100,000 under $200,000",180
15046,"$200,000 or more",30
,,
15049,,570
15049,"$1 under $25,000",210
15049,"$25,000 under $50,000",150
15049,"$50,000 under $75,000",110
15049,"$75,000 under $100,000",50
15049,"$100,000 under $200,000",50
15049,"$200,000 or more",** 0
,,
15050,,"1,330"
15050,"$1 under $25,000",450
15050,"$25,000 under $50,000",310
15050,"$50,000 under $75,000",180
15050,"$75,000 under $100,000",150
15050,"$100,000 under $200,000",200
15050,"$200,000 or more",40
,,
15051,,230
15051,"$1 under $25,000",80
15051,"$25,000 under $50,000",80
15051,"$50,000 under $75,000",30
15051,"$75,000 under $100,000",40
15051,"$100,000 under $200,000",** 0
15051,"$200,000 or more",** 0
,,
15052,,"1,680"
15052,"$1 under $25,000",570
15052,"$25,000 under $50,000",420
15052,"$50,000 under $75,000",270
15052,"$75,000 under $100,000",200
15052,"$100,000 under $200,000",220
15052,"$200,000 or more",** 0
,,
15053,,130
15053,"$1 under $25,000",60
15053,"$25,000 under $50,000",30
15053,"$50,000 under $75,000",20
15053,"$75,000 under $100,000",20
15053,"$100,000 under $200,000",** 0
15053,"$200,000 or more",0
,,
15055,,830
15055,"$1 under $25,000",230
15055,"$25,000 under $50,000",210
15055,"$50,000 under $75,000",150
15055,"$75,000 under $100,000",90
15055,"$100,000 under $200,000",130
15055,"$200,000 or more",20
,,
15056,,590
15056,"$1 under $25,000",240
15056,"$25,000 under $50,000",150
15056,"$50,000 under $75,000",90
